HOLEID,X,Y,Z,Ag ppm,Al ppm,Au ppm,C ppm,Ca ppm,Cl ppm,Cu ppm,F ppm,Fe ppm,K ppm,Mg ppm,Mn ppm,Na ppm,P ppm,Pb ppm,S ppm,Th ppm,U ppm
3,-317.04482500010636,284.09968000277877,183.37,1.1,64000.0,0.14,1900.0,2500.0,2620.4,2500.0,2226.0,240799.99999999997,17300.0,17400.0,5554.0,300.0,329.6,3.38,800.0,3.8,5.3
3,-320.63482500007376,275.9296800028533,160.01,2.61,50900.0,0.21,700.0000000000001,3400.0000000000005,2262.4,7300.0,2156.0,258900.0,19500.0,15400.0,3586.96,900.0,774.8,3.0,2200.0,3.05,4.36
3,-323.87482500006445,268.8396800030023,139.9,1.69,51400.0,0.11,300.0,2900.0,2220.5,5100.0,2938.6,257399.99999999997,19600.0,21600.0,3467.11,900.0,715.9,1.92,1600.0,2.46,1.92
3,-327.4148250001017,261.13968000374734,118.44,2.02,58900.0,0.12,400.0,5300.0,2713.25,5699.999999999999,3163.84,173100.0,22100.0,9600.0,3560.48,2700.0,1177.0,4.91,1600.0,12.69,6.3
3,-329.95482500013895,255.77968000248075,103.66,8.06,34300.0,0.6,600.0,5900.0,1615.84,25900.0,3451.56,369000.0,11900.0,6500.0,4212.73,100.0,1080.26,14.29,8100.000000000001,10.08,28.53
3,-332.30482500011567,250.89968000352383,90.28,3.17,64200.0,0.52,400.0,3900.0,1025.6,8000.0,1627.2,163600.0,15200.0,11800.0,2143.92,1100.0,1484.8,7.32,2500.0,17.37,10.63
3,-336.4848250000505,242.34968000277877,67.17,0.49,68500.0,0.05,400.0,3500.0,442.0,1300.0,1335.6,150900.0,18500.0,11500.0,1156.44,1700.0000000000002,1534.8,5.39,400.0,17.85,6.2
3,-340.44482500012964,234.53968000225723,46.39,0.95,61900.00000000001,0.16,700.0000000000001,3500.0,1481.59,3200.0,1179.9,158500.0,15500.0,12000.0,2138.16,5800.0,1150.65,4.94,1000.0,17.58,7.06
3,-342.8448250000365,229.9996800031513,34.28,0.86,45199.99999999999,0.17,1200.0,2000.0,3769.35,3200.0,2442.74,343300.0,17900.0,22599.999999999996,2142.1,500.0,181.13,2.29,1000.0,1.76,3.56
3,-345.19482500012964,225.62968000210822,22.57,1.37,47500.0,0.17,1000.0,4900.0,2870.34,5800.0,1683.4,289700.0,10000.0,16200.000000000002,5484.86,3900.0,673.64,4.6,1800.0,3.55,8.5
4,-416.5748250001343,570.3496800027788,256.16,0.33,73700.0,0.15,200.0,4300.0,162.01,2500.0,497.87,23700.0,8300.0,5699.999999999999,357.87,27000.0,265.09,15.93,100.0,52.15,23.47
4,-419.8948250000831,562.2896800022572,232.84,0.25,62699.99999999999,0.1,1000.0,18500.0,858.2,1900.0,1671.7,58400.0,17600.0,24900.000000000004,545.11,20099.999999999996,421.88,13.6,700.0000000000001,32.37,20.68
4,-422.2448250000598,556.7696800027043,216.9,0.15,63400.0,0.22,1900.0,17600.0,562.3,1200.0,809.55,32300.0,10800.0,11299.999999999998,294.82,28800.0,154.87,17.51,600.0,40.06,28.53
4,-424.0148250000784,552.5996800027788,204.85,0.21,63099.99999999999,0.07,900.0,25400.0,2177.6,2300.0,3228.54,110700.0,30299.999999999996,54900.0,815.98,7400.0,1270.14,4.78,1100.0,6.98,5.41
4,-427.4948250000598,544.5596800036728,181.52,0.12,74000.0,0.04,700.0000000000001,41000.0,2337.76,2000.0,2498.43,90900.0,25400.0,51100.0,549.78,19500.0,338.53,2.61,900.0,2.96,1.72
4,-436.36482500005513,524.7596800029278,125.29,0.23,67500.0,0.1,1100.0,11000.0,963.11,1500.0,1319.76,50400.0,21200.0,16000.0,640.69,20099.999999999996,258.61,16.54,600.0,50.08,27.15
4,-442.4048250000924,511.77968000248075,89.98,0.35,78800.0,0.02,900.0,43099.99999999999,3587.64,2800.0000000000005,671.91,99200.0,17400.0,41600.0,815.07,21300.0,381.37,2.88,1000.0,4.66,1.27
4,-452.8248250001343,490.1696800030768,32.43,1.01,50199.99999999999,0.39,800.0,10300.0,4260.35,6200.0,1358.44,247000.0,11800.0,17800.0,14601.94,2500.0,1693.99,12.11,2400.0,7.97,20.95
